"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size","Param: strSize"
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1732402.562287,11429.257617,"ops/s",10,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1752333.314452,11087.293002,"ops/s",10,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1705599.208081,9920.669067,"ops/s",10,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,264691.963763,2256.063107,"ops/s",50,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,411046.916523,3357.979954,"ops/s",50,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,405277.287039,2299.388907,"ops/s",50,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,394887.377128,2383.602012,"ops/s",50,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,115512.779602,1011.764370,"ops/s",100,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,213625.555144,1519.428395,"ops/s",100,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,211748.793002,1538.504125,"ops/s",100,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,205674.346360,1527.235823,"ops/s",100,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,23514.490824,127.726856,"ops/s",500,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,43255.816590,314.875972,"ops/s",500,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,42622.526522,161.086379,"ops/s",500,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,41535.907155,248.736573,"ops/s",500,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,10624.488452,54.621814,"ops/s",1000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,21488.667784,162.036137,"ops/s",1000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,21343.981247,148.497568,"ops/s",1000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,20769.105280,117.102155,"ops/s",1000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1798.668256,10.965698,"ops/s",5000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,3832.553452,22.552570,"ops/s",5000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,3499.176646,18.971564,"ops/s",5000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,3748.862098,19.169659,"ops/s",5000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1130.095601,7.842434,"ops/s",10000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1646.841808,8.554517,"ops/s",10000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1226.487875,4.583272,"ops/s",10000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,1458.382275,8.346421,"ops/s",10000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,690.077393,3.701647,"ops/s",20000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,642.424274,3.238932,"ops/s",20000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,546.782116,3.468471,"ops/s",20000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,570.423805,2.498625,"ops/s",20000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,309.590916,2.367435,"ops/s",50000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,255.287452,2.076876,"ops/s",50000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,223.312674,4.270747,"ops/s",50000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,211.740008,1.975481,"ops/s",50000,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,130.733570,2.553060,"ops/s",100000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,101.883171,2.565406,"ops/s",100000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,93.779000,2.672233,"ops/s",100000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshallingDetach","thrpt",1,20,80.930550,1.555451,"ops/s",100000,50
